run_id,block,position,mode,completed,task_success,outcome,iterations,local_context_total,prompt_tokens,completion_tokens,model_wall_seconds,task_wall_seconds,tool_action_count,repeated_tool_action_count,retry_count,request_bytes,response_bytes,cpu_seconds,rss_peak_bytes,gpu_running_seconds,gpu_dedicated_peak_bytes,cost_cny
main-b10-p5-no_tool_calls,10,5,no_tool_calls,False,False,no_terminal_response,1,263,260,8192,247.797,247.81300000002375,0,0,1,918,2971135,72.578125,213094400,0.0,0,0.819792
main-b11-p1-full,11,1,full,True,True,correct,3,4128,4119,1190,31.234,31.35899999999674,4,0,0,14286,351192,8.40625,213766144,0.0,0,0.159908
main-b11-p2-no_history,11,2,no_history,False,False,no_terminal_response,5,3380,3365,1799,48.795,49.29700000002049,15,12,0,13555,345861,15.046875,213757952,0.0,0,0.20112
main-b11-p3-no_reasoning,11,3,no_reasoning,True,True,correct,3,3634,3625,951,25.531,25.71799999999348,4,0,0,12414,265876,7.265625,213786624,0.0,0,0.130736
main-b11-p4-no_tool_calls,11,4,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,403,13.375,13.39100000000326,0,0,0,918,141659,4.21875,213790720,0.0,0,0.040892
main-b11-p5-no_tool_results,11,5,no_tool_results,False,False,no_terminal_response,5,5977,5962,1689,51.11,51.43699999997625,9,1,0,22001,427894,15.59375,213790720,0.0,0,0.21902
main-b12-p1-no_history,12,1,no_history,False,False,no_terminal_response,5,3380,3365,1718,45.984,46.45299999997951,15,12,0,13555,317439,14.296875,213979136,0.0,0,0.202236
main-b12-p2-no_reasoning,12,2,no_reasoning,True,True,correct,3,3819,3810,979,25.093999999999998,25.26600000000326,4,0,0,13212,276439,7.765625,213983232,0.0,0,0.137236
main-b12-p3-no_tool_calls,12,3,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,143,6.312,6.327999999979511,0,0,0,918,47482,1.96875,213983232,0.0,0,0.014892
main-b12-p4-no_tool_results,12,4,no_tool_results,False,False,no_terminal_response,5,6973,6958,1864,50.5,50.93699999997625,13,7,0,25273,406839,15.3125,213983232,0.0,0,0.247224
main-b12-p5-full,12,5,full,True,True,correct,3,3982,3973,985,26.983999999999998,27.14100000000326,4,0,0,13706,279928,7.859375,214011904,0.0,0,0.159528
main-b13-p1-no_reasoning,13,1,no_reasoning,True,True,correct,3,3758,3749,966,25.625,25.78200000000652,4,0,0,12902,272551,8.8125,214011904,0.0,0,0.143932
main-b13-p2-no_tool_calls,13,2,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,954,30.469,30.48399999999674,0,0,0,918,332202,8.8125,214011904,0.0,0,0.095992
main-b13-p3-no_tool_results,13,3,no_tool_results,True,False,unsupported_numbers,3,3302,3293,1076,25.500999999999998,25.639999999955762,4,0,0,12047,310859,7.421875,214011904,0.0,0,0.136596
main-b13-p4-full,13,4,full,True,True,correct,3,4333,4324,1742,48.032,48.18700000003446,4,0,0,15717,555744,14.171875,214011904,0.0,0,0.23764
main-b13-p5-no_history,13,5,no_history,False,False,no_terminal_response,5,3380,3365,1995,48.421,48.89100000000326,15,12,0,13555,416861,14.28125,214011904,0.0,0,0.22072
main-b14-p1-no_tool_calls,14,1,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,1362,41.5,41.53200000000652,0,0,0,918,485571,12.09375,214011904,0.0,0,0.136792
main-b14-p2-no_tool_results,14,2,no_tool_results,True,False,unsupported_numbers,3,3030,3021,822,24.547,24.73499999998603,4,0,0,11150,217559,8.109375,214011904,0.0,0,0.105756
main-b14-p3-full,14,3,full,True,True,correct,3,3920,3911,835,20.609,20.76600000000326,4,0,0,13674,224914,5.875,214016000,0.0,0,0.124856
main-b14-p4-no_history,14,4,no_history,False,False,no_terminal_response,5,3380,3365,1712,44.376,44.86000000004424,15,12,0,13555,314425,14.25,214126592,0.0,0,0.19242
main-b14-p5-no_reasoning,14,5,no_reasoning,True,True,correct,3,3850,3841,1186,30.89,31.04700000002049,4,0,0,12971,349710,8.578125,214134784,0.0,0,0.153948
main-b15-p1-no_tool_results,15,1,no_tool_results,True,False,no_unsupported_numbers,4,4790,4778,1439,40.17,40.40599999995902,7,1,0,17979,361925,12.03125,214130688,0.0,0,0.179556
main-b15-p2-full,15,2,full,True,True,correct,3,4061,4052,1153,29.484,29.625,4,0,0,13962,338665,8.53125,214175744,0.0,0,0.154868
main-b15-p3-no_history,15,3,no_history,False,False,no_terminal_response,5,3380,3365,1793,44.812,45.31199999997625,15,12,0,13555,344560,13.765625,214654976,0.0,0,0.20052
main-b15-p4-no_reasoning,15,4,no_reasoning,True,True,correct,3,3475,3466,972,25.267,25.43800000002375,4,0,0,12127,270577,7.828125,215130112,0.0,0,0.125048
main-b15-p5-no_tool_calls,15,5,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,535,15.594,15.60899999999674,0,0,0,918,189833,4.71875,215416832,0.0,0,0.054092
main-b16-p1-full,16,1,full,True,True,correct,3,4168,4159,1184,30.298000000000002,30.43699999997625,4,0,0,14201,351743,9.234375,215416832,0.0,0,0.160108
main-b16-p2-no_history,16,2,no_history,False,False,no_terminal_response,5,3380,3365,1856,44.64,45.07799999997951,15,12,0,13555,366375,13.828125,215425024,0.0,0,0.20682
main-b16-p3-no_reasoning,16,3,no_reasoning,True,True,correct,3,3702,3693,1025,28.141000000000002,28.26600000000326,4,0,0,12738,292083,8.765625,215539712,0.0,0,0.139496
main-b16-p4-no_tool_calls,16,4,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,2914,93.437,93.45299999997951,0,0,0,918,1052297,28.890625,215539712,0.0,0,0.291992
main-b16-p5-no_tool_results,16,5,no_tool_results,True,False,unsupported_numbers,3,3376,3367,1092,29.079,29.23399999999674,4,0,0,12129,318497,8.734375,215543808,0.0,0,0.139676
main-b17-p1-no_history,17,1,no_history,False,False,no_terminal_response,5,3380,3365,1896,47.766,48.20299999997951,15,12,0,13555,382628,14.359375,215560192,0.0,0,0.21082
main-b17-p2-no_reasoning,17,2,no_reasoning,True,False,incorrect,3,3704,3695,1228,30.701999999999998,30.84299999999348,4,0,0,12736,367944,9.125,215658496,0.0,0,0.159836
main-b17-p3-no_tool_calls,17,3,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,211,7.5,7.5310000000172295,0,0,0,918,71863,2.078125,215658496,0.0,0,0.021692
main-b17-p4-no_tool_results,17,4,no_tool_results,False,False,no_terminal_response,5,5721,5706,867,31.061,31.32900000002701,7,2,0,20746,155853,9.84375,215658496,0.0,0,0.122484
main-b17-p5-full,17,5,full,True,True,correct,3,3894,3885,961,26.109,26.25,4,0,0,14157,268807,7.984375,215658496,0.0,0,0.132328
main-b18-p1-no_reasoning,18,1,no_reasoning,True,True,correct,3,3452,3443,875,26.235,26.375,4,0,0,12049,235476,8.234375,215658496,0.0,0,0.114888
main-b18-p2-no_tool_calls,18,2,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,657,25.031,25.04700000002049,0,0,0,918,229289,7.421875,215658496,0.0,0,0.066292
main-b18-p3-no_tool_results,18,3,no_tool_results,True,False,unsupported_numbers,3,2997,2988,738,22.875,23.03100000001723,4,0,0,11040,189240,6.984375,215654400,0.0,0,0.096696
main-b18-p4-full,18,4,full,True,True,correct,3,3743,3734,1005,48.327,48.51600000000326,4,0,0,13329,281204,13.625,200134656,0.0,0,0.138316
main-b18-p5-no_history,18,5,no_history,False,False,no_terminal_response,5,3380,3365,1748,71.577,72.29700000002049,15,12,0,13555,327407,21.109375,198897664,0.0,0,0.214452
main-b19-p1-no_tool_calls,19,1,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,657,23.172,23.26600000000326,0,0,0,918,228520,7.140625,198529024,0.0,0,0.066292
main-b19-p2-no_tool_results,19,2,no_tool_results,True,False,unsupported_numbers,3,3243,3234,1032,30.187,30.39100000000326,4,0,0,11799,297983,9.296875,201248768,0.0,0,0.140232
main-b19-p3-full,19,3,full,True,True,correct,3,4012,4003,1006,31.392000000000003,31.65700000000652,4,0,0,13744,287877,9.421875,207409152,0.0,0,0.148404
main-b19-p4-no_history,19,4,no_history,False,False,no_terminal_response,5,3380,3365,1741,76.765,77.43699999997625,15,12,3,13555,324927,21.828125,163065856,0.0,0,0.19532
main-b19-p5-no_reasoning,19,5,no_reasoning,True,True,correct,3,3657,3648,912,32.25,32.42200000002049,4,0,0,12697,252649,9.5,157798400,0.0,0,0.127296
main-b20-p1-no_tool_results,20,1,no_tool_results,False,False,no_terminal_response,5,7512,7497,1977,71.29599999999999,71.68799999996554,10,4,1,28006,521067,20.921875,46039040,0.0,0,0.264696
main-b20-p2-full,20,2,full,True,True,correct,3,4131,4122,1072,32.672,32.84399999998277,4,0,0,14155,309459,8.90625,48558080,0.0,0,0.148168
main-b20-p3-no_history,20,3,no_history,False,False,no_terminal_response,5,3380,3365,1959,68.047,68.67099999997299,15,12,0,13555,403659,19.796875,158060544,0.0,0,0.21712
main-b20-p4-no_reasoning,20,4,no_reasoning,True,True,correct,3,3640,3631,954,29.032,29.20299999997951,4,0,0,12518,264626,8.546875,49520640,0.0,0,0.131156
main-b20-p5-no_tool_calls,20,5,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,586,20.703,20.73399999999674,0,0,0,918,199895,5.953125,83091456,0.0,0,0.059192
main-b21-p1-full,21,1,full,True,True,correct,3,3963,3954,1122,51.702,51.89100000000326,4,0,1,13833,326023,14.875,83738624,0.0,0,0.149808
main-b21-p2-no_history,21,2,no_history,False,False,no_terminal_response,5,3380,3365,1836,82.124,82.70299999997951,15,12,0,13555,359158,23.109375,84234240,0.0,0,0.20482
main-b21-p3-no_reasoning,21,3,no_reasoning,False,False,no_terminal_response,3,3361,1828,451,31.953,50.46899999998277,4,0,1,6762,91269,14.703125,51126272,0.0,0,0.063228
main-b21-p4-no_tool_calls,21,4,no_tool_calls,False,False,no_terminal_response,1,263,0,0,0.0,14.46899999998277,0,0,0,0,0,4.0625,52080640,0.0,0,0.0
main-b21-p5-no_tool_results,21,5,no_tool_results,True,False,no_unsupported_numbers,5,7677,7662,2296,97.156,97.67099999997299,11,3,1,28307,591286,34.328125,86069248,0.0,0,0.299896
main-b22-p1-no_history,22,1,no_history,False,False,no_terminal_response,5,3380,3365,1754,78.406,79.32799999997951,15,12,1,13555,329110,37.21875,86487040,0.0,0,0.233484
main-b22-p2-no_reasoning,22,2,no_reasoning,True,True,correct,3,3724,3715,830,31.157,31.43700000003446,4,0,0,12831,223069,14.8125,86679552,0.0,0,0.120436
main-b22-p3-no_tool_calls,22,3,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,790,28.75,28.84399999998277,0,0,0,918,278898,13.328125,86949888,0.0,0,0.079592
main-b22-p4-no_tool_results,22,4,no_tool_results,True,False,unsupported_numbers,3,3347,3338,935,51.172000000000004,51.59399999998277,4,0,1,12138,263261,23.640625,87244800,0.0,0,0.123396
main-b22-p5-full,22,5,full,True,True,correct,3,4058,4049,1041,39.64,39.90599999995902,4,0,0,13953,300624,18.765625,87396352,0.0,0,0.143608
main-b23-p1-no_reasoning,23,1,no_reasoning,True,True,correct,3,3702,3693,942,35.267,35.60999999998603,4,0,0,12722,264572,16.953125,87543808,0.0,0,0.131196
main-b23-p2-no_tool_calls,23,2,no_tool_calls,True,False,unsupported_numbers,1,263,260,2499,78.281,78.31199999997625,0,0,1,918,889500,36.375,87625728,0.0,0,0.250492
main-b23-p3-no_tool_results,23,3,no_tool_results,True,False,unsupported_numbers,3,3047,3038,807,31.032,31.29700000002049,4,0,0,11316,210445,15.0,88289280,0.0,0,0.104596
main-b23-p4-full,23,4,full,True,True,correct,3,4051,4042,968,49.486000000000004,49.71899999998277,4,0,2,13923,271856,23.3125,88555520,0.0,0,0.145384
main-b23-p5-no_history,23,5,no_history,False,False,no_terminal_response,5,3380,3365,1870,103.031,103.88999999995576,15,12,3,13555,372285,49.203125,88719360,0.0,0,0.226652
main-b24-p1-no_tool_calls,24,1,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,633,26.422,26.46799999999348,0,0,0,918,220046,12.265625,89432064,0.0,0,0.063892
main-b24-p2-no_tool_results,24,2,no_tool_results,True,False,no_unsupported_numbers,5,6531,6516,1875,97.406,98.125,8,1,1,24322,496902,46.234375,90632192,0.0,0,0.234876
main-b24-p3-full,24,3,full,True,True,correct,3,3547,3538,798,31.407,31.82799999997951,4,0,0,12682,209195,15.296875,91652096,0.0,0,0.113696
main-b24-p4-no_history,24,4,no_history,False,False,no_terminal_response,5,3380,3365,1721,66.906,67.65600000001723,15,12,0,13555,317213,31.625,91684864,0.0,0,0.202536
main-b24-p5-no_reasoning,24,5,no_reasoning,True,True,correct,3,3422,3413,766,36.406,36.64100000000326,4,0,0,12024,196196,17.171875,91824128,0.0,0,0.126428
main-b25-p1-no_tool_results,25,1,no_tool_results,True,False,unsupported_numbers,3,3319,3310,927,34.391,34.625,4,0,0,11981,259012,16.421875,91906048,0.0,0,0.131252
main-b25-p2-full,25,2,full,True,True,correct,3,3645,3636,735,30.547,30.79699999996228,4,0,0,12884,187135,14.96875,92028928,0.0,0,0.127788
main-b25-p3-no_history,25,3,no_history,False,False,no_terminal_response,5,3380,3365,1888,64.952,65.76600000000326,15,12,0,13555,376760,31.1875,92114944,0.0,0,0.246884
main-b25-p4-no_reasoning,25,4,no_reasoning,True,True,correct,3,3653,3644,939,38.388999999999996,38.65600000001723,4,0,0,12683,258646,17.78125,92438528,0.0,0,0.139132
main-b25-p5-no_tool_calls,25,5,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,836,28.704,28.73499999998603,0,0,0,918,288704,13.296875,92442624,0.0,0,0.084192
main-b26-p1-full,26,1,full,True,True,correct,3,4122,4113,1002,37.626000000000005,37.89100000000326,4,0,0,14327,287478,18.421875,92688384,0.0,0,0.15942
main-b26-p2-no_history,26,2,no_history,False,False,no_terminal_response,5,3380,3365,1708,75.297,76.01600000000326,15,12,0,13555,313412,36.0,92753920,0.0,0,0.201236
main-b26-p3-no_reasoning,26,3,no_reasoning,True,True,correct,3,3412,3403,973,42.985,43.21899999998277,4,0,0,11957,270138,20.4375,92995584,0.0,0,0.128496
main-b26-p4-no_tool_calls,26,4,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,658,27.985,28.0,0,0,0,918,225532,13.15625,93147136,0.0,0,0.066392
main-b26-p5-no_tool_results,26,5,no_tool_results,True,False,no_unsupported_numbers,5,6525,6510,1691,69.108,69.71900000004098,8,1,0,23988,427080,32.546875,93835264,0.0,0,0.216356
main-b27-p1-no_history,27,1,no_history,False,False,no_terminal_response,5,3380,3365,1705,61.937,62.68800000002375,15,12,0,13555,312048,29.75,94203904,0.0,0,0.219368
main-b27-p2-no_reasoning,27,2,no_reasoning,True,True,correct,3,3745,3736,1026,36.36,36.67200000002049,4,0,0,12804,292905,17.125,94289920,0.0,0,0.149672
main-b27-p3-no_tool_calls,27,3,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,1226,45.407,45.43799999996554,0,0,2,918,434526,21.4375,94285824,0.0,0,0.123192
main-b27-p4-no_tool_results,27,4,no_tool_results,False,False,no_terminal_response,5,6317,6302,1310,56.829,57.56199999997625,10,4,1,23632,270673,27.203125,94371840,0.0,0,0.215568
main-b27-p5-full,27,5,full,True,True,correct,3,3620,3611,848,35.766,36.07799999997951,4,0,0,12852,227058,17.09375,94654464,0.0,0,0.138588
main-b28-p1-no_reasoning,28,1,no_reasoning,True,True,correct,3,3779,3770,912,28.891,29.125,4,0,0,12937,253185,14.09375,94810112,0.0,0,0.138952
main-b28-p2-no_tool_calls,28,2,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,1315,44.812,44.875,0,0,0,918,467237,21.5625,94953472,0.0,0,0.1367
main-b28-p3-no_tool_results,28,3,no_tool_results,False,False,no_terminal_response,5,6546,6531,1051,58.436,58.98500000004424,9,4,2,23737,195004,28.09375,95027200,0.0,0,0.171208
main-b28-p4-full,28,4,full,True,True,correct,3,4018,4009,1430,50.531,50.78100000001723,4,0,0,14106,440526,23.859375,95469568,0.0,0,0.181708
main-b28-p5-no_history,28,5,no_history,False,False,no_terminal_response,5,3380,3365,1898,61.312,62.07799999997951,15,12,0,13555,381621,29.71875,95485952,0.0,0,0.238668
main-b29-p1-no_tool_calls,29,1,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,353,13.89,13.90600000001723,0,0,0,918,123426,6.765625,95502336,0.0,0,0.035892
main-b29-p2-no_tool_results,29,2,no_tool_results,True,False,no_unsupported_numbers,5,6741,6726,2148,71.82900000000001,72.375,10,4,0,24838,557975,34.296875,95682560,0.0,0,0.266376
main-b29-p3-full,29,3,full,True,True,correct,3,3912,3903,847,35.158,35.375,4,0,0,13450,228455,16.734375,95768576,0.0,0,0.121288
main-b29-p4-no_history,29,4,no_history,False,False,no_terminal_response,5,3380,3365,1922,66.843,67.85899999999674,15,12,0,13555,389842,32.140625,95813632,0.0,0,0.21342
main-b29-p5-no_reasoning,29,5,no_reasoning,True,True,correct,3,3663,3654,971,35.547,35.76500000001397,4,0,0,12541,273997,16.28125,95883264,0.0,0,0.133316
main-b30-p1-no_tool_results,30,1,no_tool_results,True,False,no_unsupported_numbers,5,7327,7312,2184,81.001,81.46900000004098,7,3,0,28147,627055,38.125,96579584,0.0,0,0.27248
main-b30-p2-full,30,2,full,True,True,correct,3,4169,4160,1146,46.704,47.0,4,0,0,14157,338346,21.96875,96800768,0.0,0,0.156328
main-b30-p3-no_history,30,3,no_history,False,False,no_terminal_response,5,3380,3365,1610,59.108999999999995,59.875,15,12,0,13555,278207,28.546875,96813056,0.0,0,0.18222
main-b30-p4-no_reasoning,30,4,no_reasoning,True,True,correct,3,3411,3402,993,36.735,36.95299999997951,4,0,0,11887,276518,17.8125,96829440,0.0,0,0.130476
main-b30-p5-no_tool_calls,30,5,no_tool_calls,True,False,no_unsupported_numbers,1,263,260,924,29.843,29.85899999999674,0,0,0,918,319949,13.734375,96833536,0.0,0,0.092992
